あ,ä,A
るぇ,,Rwe
るぉ,,Rwo
ぐぁ,,Gwa
ぐぃ,,Gwi
ぐぇ,,Gwe
ぐぉ,,Gwo
ずぁ,,Zwa
ずぃ,,Zwi
ずぇ,,Zwe
ずぉ,,Zwo
ぶぁ,,Bwa
ぶぃ,,Bwi
ぶぇ,,Bwe
ぶぉ,,Bwo
ぷぁ,,Pwa
ぷぃ,,Pwi
ぷぇ,,Pwe
ぷぉ,,Pwo
てぃ,,Ti
でぃ,,Di
てゅ,,Tyu
でゅ,,Dyu
とぅ,,Tu
どぅ,,Du
ヴぁ,,Va
ヴぃ,,Vi
ヴ,,Vu
ヴぇ,,Ve
ヴぉ,,Vo
か゚,ŋa,Nga
き゚,ŋ̊i,Ngi
く゚,ŋu,Ngu
け゚,ŋè,Nge
こ゚,ŋo,Ngo
ああいあう,ä-ä-i-ä-ɯ,A-A-I-A-U
いいおあえ,i-i-o̞-ä-e̞,I-I-O-A-E
ううあおい,ɯ-ɯ-ä-o̞-i,U-U-A-O-I
ええいえう,e̞-e̞-i-e̞-ɯ,E-E-I-E-U
おおうえあ,o̞-o̞-ɯ-e̞-ä,O-O-U-E-A
ういうおえ,ɯ-i-ɯ-o̞-e̞,U-I-U-O-E
んあんいん,n-ä-n-i-n,N-A-N-I-N
んうんえお,n-ɯ-n-e̞-o̞,N-U-N-E-O
えんおんん,e̞-n-o̞-n-n,E-N-O-N-N
かかきかく,ka-ka-ki-ka-kɯ,Ka-Ka-Ki-Ka-Ku
くくかこか,kɯ-kɯ-ka-ko̞-ka,Ku-Ku-Ka-Ko-Ka
けききけか,ke̞-ki-ki-ke̞-ka,Ke-Ki-Ki-Ke-Ka
きこきくけ,ki-ko̞-ki-kɯ-ke̞,Ki-Ko-Ki-Ku-Ke
こけくここ,ko̞-ke̞-kɯ-ko̞-ko̞,Ko-Ke-Ku-Ko-Ko
んかけけこ,n-ka-ke̞-ke̞-ko̞,N-Ka-Ke-Ke-Ko
んきんくき,n-ki-n-kɯ-ki,N-Ki-N-Ku-Ki
んけんこく,n-ke̞-n-ko̞-kɯ,N-Ke-N-Ko-Ku
ささすぃさす,sa-sa--sa-sɯ,Sa-Sa-Swi-Sa-Su
すすさそさ,sɯ-sɯ-sa-so̞-sa,Su-Su-Sa-So-Sa
せすぃすぃせさ,se̞---se̞-sa,Se-Swi-Swi-Se-Sa
すぃそすぃすせ,so̞--sɯ-se̞,Swi-So-Swi-Su-Se
そせすそそ,so̞-se̞-sɯ-so̞-so̞,So-Se-Su-So-So
んさせせそ,n-sa-se̞-se̞-so̞,N-Sa-Se-Se-So
んすぃんすすぃ,n--n-sɯ-,N-Swi-N-Su-Swi
んせんそす,n-se̞-n-so̞-sɯ,N-Se-N-So-Su
たたてぃたとぅ,ta-ta--ta-,Ta-Ta-Ti-Ta-Tu
とぅとぅたとた,ta-to̞-ta,Tu-Tu-Ta-To-Ta
ててぃてぃてた,te̞---te̞-ta,Te-Ti-Ti-Te-Ta
てぃとてぃとぅて,to̞---te̞,Ti-To-Ti-Tu-Te
とてとぅとと,to̞-te̞--to̞-to̞,To-Te-Tu-To-To
んたててと,n-ta-te̞-te̞-to̞,N-Ta-Te-Te-To
んてぃんとぅてぃ,n--n--,N-Ti-N-Tu-Ti
んてんととぅ,n-te̞-n-to̞-,N-Te-N-To-Tu
ななになぬ,na-na-ɲi-na-nɯ,Na-Na-Ni-Na-Nu
ぬぬなのな,nɯ-nɯ-na-no̞-na,Nu-Nu-Na-No-Na
ねににねな,ne̞-ɲi-ɲi-ne̞-na,Ne-Ni-Ni-Ne-Na
にのにぬね,ɲi-no̞-ɲi-nɯ-ne̞,Ni-No-Ni-Nu-Ne
のねぬのの,no̞-ne̞-nɯ-no̞-no̞,No-Ne-Nu-No-No
んなねねの,n-na-ne̞-ne̞-no̞,N-Na-Ne-Ne-No
んにんぬに,n-ɲi-n-nɯ-ɲi,N-Ni-N-Nu-Ni
んねんのぬ,n-ne̞-n-no̞-nɯ,N-Ne-N-No-Nu
ははひはふ,ha-ha-çi-ha-ɸɯ,Ha-Ha-Hi-Ha-Fu
ふふはほは,ɸɯ-ɸɯ-ha-ho̞-ha,Fu-Fu-Ha-Ho-Ha
へひひへは,he̞-çi-çi-he̞-ha,He-Hi-Hi-He-Ha
ひほひふへ,çi-ho̞-çi-ɸɯ-he̞,Hi-Ho-Hi-Fu-He
ほへふほほ,ho̞-he̞-ɸɯ-ho̞-ho̞,Ho-He-Fu-Ho-Ho
んはへへほ,n-ha-he̞-he̞-ho̞,N-Ha-He-He-Ho
んひんふひ,n-çi-n-ɸɯ-çi,N-Hi-N-Fu-Hi
んへんほふ,n-he̞-n-ho̞-ɸɯ,N-He-N-Ho-Fu
ままみまむ,ma-ma-mi-ma-mɯ,Ma-Ma-Mi-Ma-Mu
むむまもま,mɯ-mɯ-ma-mo̞-ma,Mu-Mu-Ma-Mo-Ma
めみみめま,me̞-mi-mi-me̞-ma,Me-Mi-Mi-Me-Ma
みもみむめ,mi-mo̞-mi-mɯ-me̞,Mi-Mo-Mi-Mu-Me
もめむもも,mo̞-me̞-mɯ-mo̞-mo̞,Mo-Me-Mu-Mo-Mo
んまめめも,n-ma-me̞-me̞-mo̞,N-Ma-Me-Me-Mo
んみんむみ,n-mi-n-mɯ-mi,N-Mi-N-Mu-Mi
んめんもむ,n-me̞-n-mo̞-mɯ,N-Me-N-Mo-Mu
ららりらる,ɺa-ɺa-ɺi-ɺa-ɺɯ,Ra-Ra-Ri-Ra-Ru
るるらろら,ɺɯ-ɺɯ-ɺa-ɺo̞-ɺa,Ru-Ru-Ra-Ro-Ra
れりりれら,ɺe̞-ɺi-ɺi-ɺe̞-ɺa,Re-Ri-Ri-Re-Ra
りろりるれ,ɺi-ɺo̞-ɺi-ɺɯ-ɺe̞,Ri-Ro-Ri-Ru-Re
ろれるろろ,ɺo̞-ɺe̞-ɺɯ-ɺo̞-ɺo̞,Ro-Re-Ru-Ro-Ro
んられれろ,n-ɺa-ɺe̞-ɺe̞-ɺo̞,N-Ra-Re-Re-Ro
んりんるり,n-ɺi-n-ɺɯ-ɺi,N-Ri-N-Ru-Ri
んれんろる,n-ɺe̞-n-ɺo̞-ɺɯ,N-Re-N-Ro-Ru
ややいやゆ,ja-ja-i-ja-jɯ,Ya-Ya-I-Ya-Yu
ゆゆやよや,jɯ-jɯ-ja-jo̞-ja,Yu-Yu-Ya-Yo-Ya
いぇいいいぇや,i-i--ja,Ye-I-I-Ye-Ya
いよいゆいぇ,i-jo̞-i-jɯ-,I-Yo-I-Yu-Ye
よいぇゆよよ,jo̞--jɯ-jo̞-jo̞,Yo-Ye-Yu-Yo-Yo
んやいぇいぇよ,n-ja---jo̞,N-Ya-Ye-Ye-Yo
んいんゆい,n-i-n-jɯ-i,N-I-N-Yu-I
んいぇんよゆ,n--n-jo̞-jɯ,N-Ye-N-Yo-Yu
ががぎがぐ,ga-ga-gi-ga-gɯ,Ga-Ga-Gi-Ga-Gu
ぐぐがごが,gɯ-gɯ-ga-go̞-ga,Gu-Gu-Ga-Go-Ga
げぎぎげが,ge̞-gi-gi-ge̞-ga,Ge-Gi-Gi-Ge-Ga
ぎごぎぐげ,gi-go̞-gi-gɯ-ge̞,Gi-Go-Gi-Gu-Ge
ごげぐごご,go̞-ge̞-gɯ-go̞-go̞,Go-Ge-Gu-Go-Go
んがげげご,n-ga-ge̞-ge̞-go̞,N-Ga-Ge-Ge-Go
んぎんぐぎ,n-gi-n-gɯ-gi,N-Gi-N-Gu-Gi
んげんごぐ,n-ge̞-n-go̞-gɯ,N-Ge-N-Go-Gu
ざざずぃざず,za-za--za-zɯ,Za-Za-Zwi-Za-Zu
ずずざぞざ,zɯ-zɯ-za-zo-za,Zu-Zu-Za-Zo-Za
ぜずぃずぃぜざ,ze---ze-za,Ze-Zwi-Zwi-Ze-Za
ずぃぞずぃずぜ,zo--zɯ-ze,Zwi-Zo-Zwi-Zu-Ze
ぞぜずぞぞ,zo-ze-zɯ-zo-zo,Zo-Ze-Zu-Zo-Zo
んざぜぜぞ,n-za-ze-ze-zo,N-Za-Ze-Ze-Zo
んずぃんずずぃ,n--n-zɯ-,N-Zwi-N-Zu-Zwi
んぜんぞず,n-ze-n-zo-zɯ,N-Ze-N-Zo-Zu
だだでぃだどぅ,da-da--da-,Da-Da-Di-Da-Du
どぅどぅだどだ,da-do-da,Du-Du-Da-Do-Da
ででぃでぃでだ,de---de-da,De-Di-Di-De-Da
でぃどでぃどぅで,do---de,Di-Do-Di-Du-De
どでどぅどど,do-de--do-do,Do-De-Du-Do-Do
んだででど,n-da-de-de-do,N-Da-De-De-Do
んでぃんどぅでぃ,n--n--,N-Di-N-Du-Di
んでんどどぅ,n-de-n-do-,N-De-N-Do-Du
ばばびばぶ,ba-ba-bi-ba-bɯ,Ba-Ba-Bi-Ba-Bu
ぶぶばぼば,bɯ-bɯ-ba-bo̞-ba,Bu-Bu-Ba-Bo-Ba
べびびべば,be̞-bi-bi-be̞-ba,Be-Bi-Bi-Be-Ba
びぼびぶべ,bi-bo̞-bi-bɯ-be̞,Bi-Bo-Bi-Bu-Be
ぼべぶぼぼ,bo̞-be̞-bɯ-bo̞-bo̞,Bo-Be-Bu-Bo-Bo
んばべべぼ,n-ba-be̞-be̞-bo̞,N-Ba-Be-Be-Bo
んびんぶび,n-bi-n-bɯ-bi,N-Bi-N-Bu-Bi
んべんぼぶ,n-be̞-n-bo̞-bɯ,N-Be-N-Bo-Bu
ぱぱぴぱぷ,pʰa-pʰa-pʰi-pʰa-pʰɯ,Pa-Pa-Pi-Pa-Pu
ぷぷぱぽぱ,pʰɯ-pʰɯ-pʰa-pʰo̞-pʰa,Pu-Pu-Pa-Po-Pa
ぺぴぴぺぱ,pʰe̞-pʰi-pʰi-pʰe̞-pʰa,Pe-Pi-Pi-Pe-Pa
ぴぽぴぷぺ,pʰi-pʰo̞-pʰi-pʰɯ-pʰe̞,Pi-Po-Pi-Pu-Pe
ぽぺぷぽぽ,pʰo̞-pʰe̞-pʰɯ-pʰo̞-pʰo̞,Po-Pe-Pu-Po-Po
んぱぺぺぽ,n-pʰa-pʰe̞-pʰe̞-pʰo̞,N-Pa-Pe-Pe-Po
んぴんぷぴ,n-pʰi-n-pʰɯ-pʰi,N-Pi-N-Pu-Pi
んぺんぽぷ,n-pʰe̞-n-pʰo̞-pʰɯ,N-Pe-N-Po-Pu
わわうぃわう,ɰa-ɰa-ɰi-ɰa-ɯ,Wa-Wa-Wi-Wa-U
ううわうぉわ,ɯ-ɯ-ɰa--ɰa,U-U-Wa-Who-Wa
うぇうぃうぃうぇわ,ɰe̞-ɰi-ɰi-ɰe̞-ɰa,We-Wi-Wi-We-Wa
うぃうぉうぃううぇ,ɰi--ɰi-ɯ-ɰe̞,Wi-Who-Wi-U-We
うぉうぇううぉうぉ,ɰe̞-ɯ--,Who-We-U-Who-Who
んわうぇうぇうぉ,n-ɰa-ɰe̞-ɰe̞-,N-Wa-We-We-Who
んうぃんううぃ,n-ɰi-n-ɯ-ɰi,N-Wi-N-U-Wi
んうぇんうぉう,n-ɰe̞-n--ɯ,N-We-N-Who-U
きゃきゃききゃきゅ,kja-kja-ki-kja-kjɯ,Kya-Kya-Ki-Kya-Kyu
きゅきゅきゃきょきゃ,kjɯ-kjɯ-kja-kjo̞-kja,Kyu-Kyu-Kya-Kyo-Kya
きぇきききぇきゃ,ki-ki--kja,Kye-Ki-Ki-Kye-Kya
ききょききゅきぇ,ki-kjo̞-ki-kjɯ-,Ki-Kyo-Ki-Kyu-Kye
きょきぇきゅきょきょ,kjo̞--kjɯ-kjo̞-kjo̞,Kyo-Kye-Kyu-Kyo-Kyo
んきゃきぇきぇきょ,n-kja---kjo̞,N-Kya-Kye-Kye-Kyo
んきんきゅき,n-ki-n-kjɯ-ki,N-Ki-N-Kyu-Ki
んきぇんきょきゅ,n--n-kjo̞-kjɯ,N-Kye-N-Kyo-Kyu
しゃしゃししゃしゅ,sja-sja-ɕi-sja-sjɯ,Sha-Sha-Shi-Sha-Shu
しゅしゅしゃしょしゃ,sjɯ-sjɯ-sja-sjo̞-sja,Shu-Shu-Sha-Sho-Sha
しぇしししぇしゃ,ɕi-ɕi--sja,She-Shi-Shi-She-Sha
ししょししゅしぇ,ɕi-sjo̞-ɕi-sjɯ-,Shi-Sho-Shi-Shu-She
しょしぇしゅしょしょ,sjo̞--sjɯ-sjo̞-sjo̞,Sho-She-Shu-Sho-Sho
んしゃしぇしぇしょ,n-sja---sjo̞,N-Sha-She-She-Sho
んしんしゅし,n-ɕi-n-sjɯ-ɕi,N-Shi-N-Shu-Shi
んしぇんしょしゅ,n--n-sjo̞-sjɯ,N-She-N-Sho-Shu
ちゃちゃちちゃちゅ,tɕʰja-tɕʰja-ʨi-tɕʰja-tɕʰjɯ,Cha-Cha-Chi-Cha-Chu
ちゅちゅちゃちょちゃ,tɕʰjɯ-tɕʰjɯ-tɕʰja-tɕʰjo̞-tɕʰja,Chu-Chu-Cha-Cho-Cha
ちぇちちちぇちゃ,ʨi-ʨi--tɕʰja,Che-Chi-Chi-Che-Cha
ちちょちちゅちぇ,ʨi-tɕʰjo̞-ʨi-tɕʰjɯ-,Chi-Cho-Chi-Chu-Che
ちょちぇちゅちょちょ,tɕʰjo̞--tɕʰjɯ-tɕʰjo̞-tɕʰjo̞,Cho-Che-Chu-Cho-Cho
んちゃちぇちぇちょ,n-tɕʰja---tɕʰjo̞,N-Cha-Che-Che-Cho
んちんちゅち,n-ʨi-n-tɕʰjɯ-ʨi,N-Chi-N-Chu-Chi
んちぇんちょちゅ,n--n-tɕʰjo̞-tɕʰjɯ,N-Che-N-Cho-Chu
にゃにゃににゃにゅ,nja-nja-ɲi-nja-njɯ,Nya-Nya-Ni-Nya-Nyu
にゅにゅにゃにょにゃ,njɯ-njɯ-nja-njo̞-nja,Nyu-Nyu-Nya-Nyo-Nya
にぇにににぇにゃ,ɲi-ɲi--nja,Nye-Ni-Ni-Nye-Nya
ににょににゅにぇ,ɲi-njo̞-ɲi-njɯ-,Ni-Nyo-Ni-Nyu-Nye
にょにぇにゅにょにょ,njo̞--njɯ-njo̞-njo̞,Nyo-Nye-Nyu-Nyo-Nyo
んにゃにぇにぇにょ,n-nja---njo̞,N-Nya-Nye-Nye-Nyo
んにんにゅに,n-ɲi-n-njɯ-ɲi,N-Ni-N-Nyu-Ni
んにぇんにょにゅ,n--n-njo̞-njɯ,N-Nye-N-Nyo-Nyu
ひゃひゃひひゃひゅ,çi--,Hya-Hya-Hi-Hya-Hyu
ひゅひゅひゃひょひゃ,,Hyu-Hyu-Hya-Hyo-Hya
ひぇひひひぇひゃ,çi-çi--,Hye-Hi-Hi-Hye-Hya
ひひょひひゅひぇ,çi--çi--,Hi-Hyo-Hi-Hyu-Hye
ひょひぇひゅひょひょ,,Hyo-Hye-Hyu-Hyo-Hyo
んひゃひぇひぇひょ,n----,N-Hya-Hye-Hye-Hyo
んひんひゅひ,n-çi-n--çi,N-Hi-N-Hyu-Hi
んひぇんひょひゅ,n--n--,N-Hye-N-Hyo-Hyu
みゃみゃみみゃみゅ,mi--,Mya-Mya-Mi-Mya-Myu
みゅみゅみゃみょみゃ,,Myu-Myu-Mya-Myo-Mya
みぇみみみぇみゃ,mi-mi--,Mye-Mi-Mi-Mye-Mya
みみょみみゅみぇ,mi--mi--,Mi-Myo-Mi-Myu-Mye
みょみぇみゅみょみょ,,Myo-Mye-Myu-Myo-Myo
んみゃみぇみぇみょ,n----,N-Mya-Mye-Mye-Myo
んみんみゅみ,n-mi-n--mi,N-Mi-N-Myu-Mi
んみぇんみょみゅ,n--n--,N-Mye-N-Myo-Myu
りゃりゃりりゃりゅ,ɺi--,Rya-Rya-Ri-Rya-Ryu
りゅりゅりゃりょりゃ,,Ryu-Ryu-Rya-Ryo-Rya
りぇりりりぇりゃ,ɺi-ɺi--,Rye-Ri-Ri-Rye-Rya
りりょりりゅりぇ,ɺi--ɺi--,Ri-Ryo-Ri-Ryu-Rye
りょりぇりゅりょりょ,,Ryo-Rye-Ryu-Ryo-Ryo
んりゃりぇりぇりょ,n----,N-Rya-Rye-Rye-Ryo
んりんりゅり,n-ɺi-n--ɺi,N-Ri-N-Ryu-Ri
んりぇんりょりゅ,n--n--,N-Rye-N-Ryo-Ryu
ぎゃぎゃぎぎゃぎゅ,gi--,Gya-Gya-Gi-Gya-Gyu
ぎゅぎゅぎゃぎょぎゃ,,Gyu-Gyu-Gya-Gyo-Gya
ぎぇぎぎぎぇぎゃ,gi-gi--,Gye-Gi-Gi-Gye-Gya
ぎぎょぎぎゅぎぇ,gi--gi--,Gi-Gyo-Gi-Gyu-Gye
ぎょぎぇぎゅぎょぎょ,,Gyo-Gye-Gyu-Gyo-Gyo
んぎゃぎぇぎぇぎょ,n----,N-Gya-Gye-Gye-Gyo
んぎんぎゅぎ,n-gi-n--gi,N-Gi-N-Gyu-Gi
んぎぇんぎょぎゅ,n--n--,N-Gye-N-Gyo-Gyu
じゃじゃじじゃじゅ,ʑi--,Ja-Ja-Ji-Ja-Ju
じゅじゅじゃじょじゃ,,Ju-Ju-Ja-Jo-Ja
じぇじじじぇじゃ,ʑi-ʑi--,Je-Ji-Ji-Je-Ja
じじょじじゅじぇ,ʑi--ʑi--,Ji-Jo-Ji-Ju-Je
じょじぇじゅじょじょ,,Jo-Je-Ju-Jo-Jo
んじゃじぇじぇじょ,n----,N-Ja-Je-Je-Jo
んじんじゅじ,n-ʑi-n--ʑi,N-Ji-N-Ju-Ji
んじぇんじょじゅ,n--n--,N-Je-N-Jo-Ju
びゃびゃびびゃびゅ,bi--,Bya-Bya-Bi-Bya-Byu
びゅびゅびゃびょびゃ,,Byu-Byu-Bya-Byo-Bya
びぇびびびぇびゃ,bi-bi--,Bye-Bi-Bi-Bye-Bya
びびょびびゅびぇ,bi--bi--,Bi-Byo-Bi-Byu-Bye
びょびぇびゅびょびょ,,Byo-Bye-Byu-Byo-Byo
んびゃびぇびぇびょ,n----,N-Bya-Bye-Bye-Byo
んびんびゅび,n-bi-n--bi,N-Bi-N-Byu-Bi
んびぇんびょびゅ,n--n--,N-Bye-N-Byo-Byu
ぴゃぴゃぴぴゃぴゅ,pʰi--,Pya-Pya-Pi-Pya-Pyu
ぴゅぴゅぴゃぴょぴゃ,,Pyu-Pyu-Pya-Pyo-Pya
ぴぇぴぴぴぇぴゃ,pʰi-pʰi--,Pye-Pi-Pi-Pye-Pya
ぴぴょぴぴゅぴぇ,pʰi--pʰi--,Pi-Pyo-Pi-Pyu-Pye
ぴょぴぇぴゅぴょぴょ,,Pyo-Pye-Pyu-Pyo-Pyo
んぴゃぴぇぴぇぴょ,n----,N-Pya-Pye-Pye-Pyo
んぴんぴゅぴ,n-pʰi-n--pʰi,N-Pi-N-Pyu-Pi
んぴぇんぴょぴゅ,n--n--,N-Pye-N-Pyo-Pyu
つぁつぁつぃつぁつ,t͡sɯ,Tsa-Tsa-Tsi-Tsa-Tsu
つつつぁつぉつぁ,t͡sɯ-t͡sɯ---,Tsu-Tsu-Tsa-Tso-Tsa
つぇつぃつぃつぇつぁ,,Tse-Tsi-Tsi-Tse-Tsa
つぃつぉつぃつつぇ,t͡sɯ-,Tsi-Tso-Tsi-Tsu-Tse
つぉつぇつつぉつぉ,t͡sɯ--,Tso-Tse-Tsu-Tso-Tso
んつぁつぇつぇつぉ,n----,N-Tsa-Tse-Tse-Tso
んつぃんつつぃ,n--n-t͡sɯ-,N-Tsi-N-Tsu-Tsi
んつぇんつぉつ,n--n--t͡sɯ,N-Tse-N-Tso-Tsu
てぃてゅあてゅてゅ,ä--,Ti-Tyu-A-Tyu-Tyu
てゅえてゅおてゅ,e̞--o̞-,Tyu-E-Tyu-O-Tyu
でぃでゅあでゅでゅ,ä--,Di-Dyu-A-Dyu-Dyu
でゅえでゅおでゅ,e̞--o̞-,Dyu-E-Dyu-O-Dyu
でゅんてゅんでゅ,n--n-,Dyu-N-Tyu-N-Dyu
ふぁふぁふぃふぁふ,ɸɯ,Fa-Fa-Fi-Fa-Fu
ふふふぁふぉふぁ,ɸɯ-ɸɯ---,Fu-Fu-Fa-Fo-Fa
ふぇふぃふぃふぇふぁ,,Fe-Fi-Fi-Fe-Fa
ふぃふぉふぃふふぇ,ɸɯ-,Fi-Fo-Fi-Fu-Fe
ふぉふぇふふぉふぉ,ɸɯ--,Fo-Fe-Fu-Fo-Fo
んふぁふぇふぇふぉ,n----,N-Fa-Fe-Fe-Fo
んふぃんふふぃ,n--n-ɸɯ-,N-Fi-N-Fu-Fi
んふぇんふぉふ,n--n--ɸɯ,N-Fe-N-Fo-Fu
ヴぁヴぁヴぃヴぁヴ,,Va-Va-Vi-Va-Vu
ヴヴヴぁヴぉヴぁ,,Vu-Vu-Va-Vo-Va
ヴぇヴぃヴぃヴぇヴぁ,,Ve-Vi-Vi-Ve-Va
ヴぃヴぉヴぃヴヴぇ,,Vi-Vo-Vi-Vu-Ve
ヴぉヴぇヴヴぉヴぉ,,Vo-Ve-Vu-Vo-Vo
んヴぁヴぇヴぇヴぉ,n----,N-Va-Ve-Ve-Vo
んヴぃんヴヴぃ,n--n--,N-Vi-N-Vu-Vi
んヴぇんヴぉヴ,n--n--,N-Ve-N-Vo-Vu
くぁくぁくぃくぁく,kɯ,Kwa-Kwa-Kwi-Kwa-Ku
くくくぁくぉくぁ,kɯ-kɯ---,Ku-Ku-Kwa-Kwo-Kwa
くぇくぃくぃくぇくぁ,,Kwe-Kwi-Kwi-Kwe-Kwa
くぃくぉくぃくくぇ,kɯ-,Kwi-Kwo-Kwi-Ku-Kwe
くぉくぇくくぉくぉ,kɯ--,Kwo-Kwe-Ku-Kwo-Kwo
んくぁくぇくぇくぉ,n----,N-Kwa-Kwe-Kwe-Kwo
んくぃんくくぃ,n--n-kɯ-,N-Kwi-N-Ku-Kwi
んくぇんくぉく,n--n--kɯ,N-Kwe-N-Kwo-Ku
ぐぁぐぁぐぃぐぁぐ,gɯ,Gwa-Gwa-Gwi-Gwa-Gu
ぐぐぐぁぐぉぐぁ,gɯ-gɯ---,Gu-Gu-Gwa-Gwo-Gwa
ぐぇぐぃぐぃぐぇぐぁ,,Gwe-Gwi-Gwi-Gwe-Gwa
ぐぃぐぉぐぃぐぐぇ,gɯ-,Gwi-Gwo-Gwi-Gu-Gwe
ぐぉぐぇぐぐぉぐぉ,gɯ--,Gwo-Gwe-Gu-Gwo-Gwo
んぐぁぐぇぐぇぐぉ,n----,N-Gwa-Gwe-Gwe-Gwo
んぐぃんぐぐぃ,n--n-gɯ-,N-Gwi-N-Gu-Gwi
んぐぇんぐぉぐ,n--n--gɯ,N-Gwe-N-Gwo-Gu
